,total_score,total_letter_metric,total_position_metric,first_word,first_word_score,first_word_letter_metric,first_word_position_metric,second_word,second_word_score,second_word_letter_metric,second_word_position_metric
132,3.2760900140647617,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.267698077824665, 0.3595874355368112, 0.24003750586029443, 0.11087669948429381, 0.020628223159868734, 0.0011720581340834506]",rails,1.7875293014533844,"[0.07266760431317404, 0.33309892170652416, 0.4123300515705686, 0.16736990154711756, 0.013595874355368045, 0.0009376465072667605]","[0.4714017815283769, 0.39240506329114916, 0.11837787154242775, 0.0147679324894515, 0.002812939521800281, 0.00023441162681669012]",toned,1.4885607126113716,"[0.1493202062822317, 0.38865447726208197, 0.3539615564932104, 0.09821847163619278, 0.009376465072667609, 0.00046882325363338024]","[0.5747773089545414, 0.3023909985935365, 0.09868729488982615, 0.02180028129395218, 0.002109704641350211, 0.00023441162681669012]"
144,3.2747069854665436,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.2632442569151477, 0.3738865447726299, 0.23323956868261014, 0.11322081575246067, 0.015236755743084881, 0.0011720581340834506]",tones,1.779981247069886,"[0.07571495546179095, 0.34575714955462594, 0.39967182372246685, 0.16127519924988337, 0.016643225503985018, 0.0009376465072667605]","[0.4306141584622712, 0.3781059540553305, 0.15682137834036608, 0.031879981247069825, 0.002344116268166901, 0.00023441162681669012]",laird,1.4947257383966515,"[0.12681669010782853, 0.4158462259728191, 0.34903891233005974, 0.09751523675574272, 0.010548523206751063, 0.00023441162681669012]","[0.6155649320206471, 0.3251289263947564, 0.054852320675105704, 0.0039849976558837315, 0.00023441162681669012, 0.00023441162681669012]"
135,3.2747069854665436,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.2632442569151477, 0.3738865447726299, 0.23323956868261014, 0.11322081575246067, 0.015236755743084881, 0.0011720581340834506]",lairs,1.786146272855166,"[0.07266760431317404, 0.33309892170652416, 0.4123300515705686, 0.16736990154711756, 0.013595874355368045, 0.0009376465072667605]","[0.4676511954993097, 0.40764181903423463, 0.1111111111111105, 0.01242381622128459, 0.0009376465072667605, 0.00023441162681669012]",toned,1.4885607126113716,"[0.1493202062822317, 0.38865447726208197, 0.3539615564932104, 0.09821847163619278, 0.009376465072667609, 0.00046882325363338024]","[0.5747773089545414, 0.3023909985935365, 0.09868729488982615, 0.02180028129395218, 0.002109704641350211, 0.00023441162681669012]"
138,3.27226910454765,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.2719174871073656, 0.3677918424753957, 0.24472573839662842, 0.09774964838255941, 0.017112048757618396, 0.0007032348804500703]",rials,1.7837083919362724,"[0.07266760431317404, 0.33309892170652416, 0.4123300515705686, 0.16736990154711756, 0.013595874355368045, 0.0009376465072667605]","[0.4880450070323626, 0.38982653539616546, 0.10993905297702707, 0.011017346460384445, 0.0009376465072667605, 0.00023441162681669012]",toned,1.4885607126113716,"[0.1493202062822317, 0.38865447726208197, 0.3539615564932104, 0.09821847163619278, 0.009376465072667609, 0.00046882325363338024]","[0.5747773089545414, 0.3023909985935365, 0.09868729488982615, 0.02180028129395218, 0.002109704641350211, 0.00023441162681669012]"
140,3.2708860759494316,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.27660571964369957, 0.3684950773558458, 0.24308485700891153, 0.09446788560712581, 0.01617440225035164, 0.0011720581340834506]",liars,1.782325363338054,"[0.07266760431317404, 0.33309892170652416, 0.4123300515705686, 0.16736990154711756, 0.013595874355368045, 0.0009376465072667605]","[0.49765588373184727, 0.3837318330989313, 0.1061884669479601, 0.0121894045944679, 0.0, 0.00023441162681669012]",toned,1.4885607126113716,"[0.1493202062822317, 0.38865447726208197, 0.3539615564932104, 0.09821847163619278, 0.009376465072667609, 0.00046882325363338024]","[0.5747773089545414, 0.3023909985935365, 0.09868729488982615, 0.02180028129395218, 0.002109704641350211, 0.00023441162681669012]"
152,3.2678387248008143,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.28199718706048366, 0.38607594936709827, 0.21776840131270797, 0.10103141115799301, 0.0121894045944679, 0.0009376465072667605]",notes,1.7731129864041568,"[0.07571495546179095, 0.34575714955462594, 0.39967182372246685, 0.16127519924988337, 0.016643225503985018, 0.0009376465072667605]","[0.45921237693390854, 0.3785747773089639, 0.1378340365682134, 0.022737927801218936, 0.0014064697609001407, 0.00023441162681669012]",laird,1.4947257383966515,"[0.12681669010782853, 0.4158462259728191, 0.34903891233005974, 0.09751523675574272, 0.010548523206751063, 0.00023441162681669012]","[0.6155649320206471, 0.3251289263947564, 0.054852320675105704, 0.0039849976558837315, 0.00023441162681669012, 0.00023441162681669012]"
172,3.2646507266761082,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.2620721987810642, 0.4160806375996358, 0.24636661978434532, 0.0651664322550401, 0.0096108766994843, 0.0007032348804500703]",doles,1.7604781997187364,"[0.08274730426629152, 0.34177215189874205, 0.40576652601970103, 0.1502578527894985, 0.0192217533989686, 0.00023441162681669012]","[0.4392873886544891, 0.3743553680262633, 0.15424285044538238, 0.028129395218002787, 0.003750586029067041, 0.00023441162681669012]",train,1.5041725269573618,"[0.1408813877168305, 0.383966244725748, 0.35161744022504343, 0.11368963900609404, 0.0096108766994843, 0.00023441162681669012]","[0.6992498827942089, 0.24824191279887892, 0.04477262072198792, 0.006094702297233942, 0.0014064697609001407, 0.00023441162681669012]"
99,3.2638302859822494,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.2721518987341823, 0.4099859353024016, 0.23816221284576083, 0.06821378340365701, 0.010314111579934372, 0.0011720581340834506]",dries,1.80700890764185,"[0.08204406938584147, 0.33075480543835717, 0.38818565400844857, 0.17205813408345155, 0.026019690576652585, 0.0009376465072667605]","[0.4191279887482529, 0.4322550398499881, 0.13080168776371243, 0.01593999062353495, 0.0016408813877168307, 0.00023441162681669012]",tonal,1.4568213783403925,"[0.13244256915142932, 0.4254571026723038, 0.34106891701829195, 0.09423347398030912, 0.006329113924050632, 0.00046882325363338024]","[0.6697140178153047, 0.28152836380685026, 0.04008438818565407, 0.007969995311767463, 0.00046882325363338024, 0.00023441162681669012]"
137,3.2625410220347573,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.33122362869199057, 0.34364744491327565, 0.21425222691045748, 0.0914205344585089, 0.01851851851851853, 0.0009376465072667605]",rotas,1.7846694796062201,"[0.08063759962494135, 0.3265353961556566, 0.40342240975153404, 0.16807313642756766, 0.020862634786685423, 0.00046882325363338024]","[0.5065635255508818, 0.3834974214721146, 0.1012658227848097, 0.008204406938584154, 0.00023441162681669012, 0.00023441162681669012]",lined,1.4778715424285285,"[0.15752461322081618, 0.38912330051571536, 0.33544303797469116, 0.10525082044069335, 0.01242381622128459, 0.00023441162681669012]","[0.6322081575246328, 0.24613220815752862, 0.10150023441162638, 0.017580872011251775, 0.002344116268166901, 0.00023441162681669012]"
108,3.259165494608597,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.3202062822316057, 0.3790436005625973, 0.2069854664791398, 0.07782466010314112, 0.0147679324894515, 0.0011720581340834506]",rides,1.8023441162681977,"[0.08204406938584147, 0.33075480543835717, 0.38818565400844857, 0.17205813408345155, 0.026019690576652585, 0.0009376465072667605]","[0.4739803094233606, 0.3811533052039476, 0.11579934364744421, 0.026488513830285963, 0.002344116268166901, 0.00023441162681669012]",tonal,1.4568213783403925,"[0.13244256915142932, 0.4254571026723038, 0.34106891701829195, 0.09423347398030912, 0.006329113924050632, 0.00046882325363338024]","[0.6697140178153047, 0.28152836380685026, 0.04008438818565407, 0.007969995311767463, 0.00046882325363338024, 0.00023441162681669012]"
105,3.2583216127520567,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.3265353961556566, 0.3731833098921798, 0.2079231129864066, 0.07712142522269107, 0.013595874355368045, 0.0016408813877168307]",tiles,1.80405532114396,"[0.07946554149085792, 0.3272386310361067, 0.40248476324426724, 0.16690107829348416, 0.023441162681669004, 0.00046882325363338024]","[0.45171120487577415, 0.383966244725748, 0.13033286451007903, 0.03047351148616968, 0.003281762775433661, 0.00023441162681669012]",radon,1.4542662916080895,"[0.1432255039849975, 0.40951711204876823, 0.34083450539147525, 0.0963431786216593, 0.0096108766994843, 0.00046882325363338024]","[0.7165963431786446, 0.24003750586029443, 0.038209095171120526, 0.004688232536333802, 0.00023441162681669012, 0.00023441162681669012]"
46,3.2572902015940635,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.3209095171120558, 0.379278012189414, 0.21987810595405827, 0.06727613689639027, 0.011486169714017827, 0.0011720581340834506]",tires,1.8652133145804357,"[0.07454289732770752, 0.3141115799343715, 0.39123300515706566, 0.18963900609470402, 0.029301453352086233, 0.0011720581340834506]","[0.4381153305204056, 0.39240506329114916, 0.13736521331458001, 0.029301453352086233, 0.002578527894983591, 0.00023441162681669012]",nodal,1.3920768870136218,"[0.15541490857946588, 0.426863572433204, 0.3248945147679397, 0.08673230192217518, 0.005860290670417252, 0.00023441162681669012]","[0.7353492733239806, 0.23042662916080975, 0.02766057196436941, 0.006094702297233942, 0.00023441162681669012, 0.00023441162681669012]"
